medicine_id,drug_id,amount,unit
273,221,10/1,mg/ml
275,222,200,mg
276,223,40,iu
277,224,100,iu
278,225,5,mg
278,226,500,mg
279,227,0.3,mg
280,228,60,mg
281,229,50,mg
282,227,0.2,mg
283,230,500,mg
284,231,60,mg
285,232,300,mg
286,233,500,mg
286,234,500,mg
287,235,300,mg
288,236,500,mg
289,237,200,mg
289,66,200,mg
290,238,600,mg
291,239,200,mg
291,31,125,mg
292,240,100,mg
293,237,200,mg
293,31,125,mg
294,241,50,mg
295,242,250,mg
296,243,400,mg
297,244,250,mg
298,245,800,mg
299,246,500,mg
299,31,125,mg
300,247,50,mg
301,248,200,mg
302,30,250,mg
302,31,125,mg
303,30,875,mg
303,31,125,mg
304,235,300/2,mg/ml
305,249,600/300,mg/ml
306,250,200/100,mg/ml
307,251,12,mg
308,252,440,mg
309,253,50,mg
310,254,7.5,mg
311,255,500,mg
311,256,250,mg
312,257,5,mg
313,191,40,mg
313,165,5,mg
314,258,20,mg
315,259,50,iu
315,260,2,mg
316,261,10,mg
316,172,75,mg
317,262,5,mg
318,263,10,mg
319,264,5,mg
320,265,3.125,mg
321,266,90,mg
322,267,2,mg
323,268,2.5,mg
324,269,0.25,mg
325,261,10,mg
325,270,160,mg
326,271,200,mg
327,272,5,mg
327,185,12.5,mg
328,273,40,mg
329,274,30,mg
330,275,40,mg
331,276,10,mg
331,270,160,mg
332,191,40,mg
332,277,12.5,mg
333,278,20,mg
334,279,1.5,mg
335,280,40,mg
335,185,12.5,mg
336,281,50,mg
336,282,5,mg
337,283,50,mg
337,165,5,mg
338,284,160,mg
339,181,5,mg
340,285,10,mg
340,185,25,mg
341,286,20,mg
341,165,5,mg
342,165,5,mg
342,185,12.5,mg
343,287,0.3,mg
344,272,5,mg
344,165,5,mg
345,288,25,mg
346,289,100,mg
347,290,000,iu
348,291,5,mg
349,264,5,mg
349,185,6.25,mg
350,292,80,mg
351,293,80,mg
352,169,40,mg
353,294,20,mg
354,295,5/1,mg/ml
355,296,2,%w/w
355,297,0.1,%w/w
355,298,0.025,%w/w
356,299,0.1,%w/w
356,300,0.5,%w/w
357,299,0.12,%w/w
357,301,3,%w/w
358,302,2,%w/w
359,138,40,mg
359,133,30,mg
360,303,300,mg
361,120,10,mg
361,256,250,mg
362,304,2,billion
362,118,5,ml
364,305,40,mg
364,133,30,mg
365,138,40,mg
365,306,75,mg
366,307,10,mg
366,144,10,mg
367,308,500/5,mg/ml
368,309,1.25,ml
368,310,3.75,ml
368,311,3.33,mg
368,118,5,ml
369,312,5,mg
369,313,2.5,mg
370,311,10,mg
371,314,7.15,g
371,116,550/10,mg/ml
372,305,40,mg
372,306,75,mg
373,315,400,mg
374,139,20,mg
374,306,75,mg
375,316,2,mg
376,317,40,mg
377,161,25,mg
378,318,170,mg
378,124,80,mg
379,120,10,mg
379,124,40/5,mg/ml
380,319,15,mg
381,320,1000,mg
382,321,50,mg
383,322,500,mg
384,323,10,mg
385,324,200,mg
385,325,200,mcg
386,326,100,mg
386,146,1.5,mg
387,327,5,mg
388,328,100,mcg
389,329,0.5,mg
390,330,6,mg
391,331,1000,mg
392,332,25/1,mg/ml
393,333,10,mg
394,333,5,mg
395,334,500,mg
396,335,200,mg
397,2,325,mg
397,25,37.5,mg
398,20,650,mg
399,1,100,mg
399,2,325,mg
399,9,15,mg
400,336,20,mg
402,256,100/5,mg/ml
403,337,200,mg
404,338,4,mg
404,1,100,mg
405,339,10,mg
406,340,10,mg
407,341,100,mg
408,342,0.25,mcg
409,343,500,mg
410,7,1.16,%w/w
410,344,3,%w/w
410,345,10,%w/w
410,346,5,%w/w
411,2,325,mg
411,347,10,mg
411,348,2,mg
412,349,1.25,mg
412,350,500,mcg
413,351,6,mcg
413,352,200,mcg
414,353,50,mcg
414,354,250,mcg
415,355,15,mg
415,356,50,mg
415,357,1,mg
416,358,600,mg
417,349,1.25,mg
417,352,1,mg
418,359,100,mg
421,360,0.5/2,mg/ml
422,361,400,mg
423,158,10,mg
423,362,120,mg
424,363,140,mcg
424,364,50,mcg
425,365,50,mcg
426,349,1/5,mg/ml
427,366,10,mg
428,367,0.5/1,mg/ml
429,368,18,mcg
429,369,12,mcg
430,368,18,mcg
430,369,12,mcg
430,370,400,mcg
431,371,250,mcg
432,372,100,mcg
432,350,20,mcg
433,353,25,mcg
433,364,250,mcg
434,373,50,mg
435,374,20,mg
436,375,0.4,mg
436,376,0.5,mg
439,377,500,mg
439,378,0.25,mcg
439,379,7.5,mg
441,380,4,mg
442,381,60000,iu
443,382,1500,mcg
443,383,500,mg
443,146,1.5,mg
444,384,400,mg
445,142,500,mg
445,378,0.25,mcg
446,382,500,mcg
448,146,15,mg
448,385,500,mcg
448,386,200,mg
450,387,100,mg
450,144,100,mg
450,388,1000/3,mcg
451,389,50,mg
452,390,75,mg
452,382,750,mcg
453,390,75,mg
454,391,500,mg
455,392,5,mg
455,393,10,mg
455,2,325,mg
456,394,0.05,%w/w
456,395,3,%w/w
457,396,0.20,%w/w
457,87,0.20,%w/w
458,2,125,mg
458,393,5,mg
458,392,2,mg
459,397,2,mg
460,398,5,%w/w
461,399,50,mg
461,2,325,mg
461,9,10,mg
462,400,2,%w/v
462,401,2.7,%w/v
462,402,5,%w/v
462,403,15,%w/v
463,404,8,mg
463,393,5,mg
464,405,2,%w/v
465,406,115,mg
465,153,35,mg
466,406,231,mg
466,153,69,mg
468,309,3.75,ml
468,310,11.25,ml
468,118,15,ml
469,407,500,mg
470,407,250,mg
471,74,0.1,%w/w
471,408,1,%w/w
472,409,0.05,%w/w
472,79,0.50,%w/w
472,410,2,%w/w
472,411,0.10,%w/w
473,1,100,mg
473,2,325,mg
473,6,250,mg
474,412,1.25,mg
474,413,4,mg
474,414,50,mg
474,346,2.5,mg
474,118,5,ml
475,19,1,%w/w
476,2,125,mg
476,348,1,mg
476,415,60,mg
477,393,5,mg
477,416,2,mg
478,417,100,mg
478,2,325,mg
478,6,375,mg
479,418,1.16,%w/w
479,419,3,%w/w
479,345,10,%w/w
479,346,5,%w/w
480,120,10,mg
480,420,40,mg
481,256,500,mg
481,2,325,mg
482,421,7.5,mg
482,422,12.5,mg
482,118,5,ml
484,87,0.3,%
484,423,0.6,%w/v
485,424,1,%w/v
485,425,0.1,%w/v
488,160,22.75,mg
490,246,125/5,mg/ml
491,426,750,mg
491,427,50,mg
491,428,250,mg
492,426,500,mg
492,427,50,mg
493,429,0.1,%w/w
494,430,10,mg
495,431,0.1,%w/w
496,432,0.5,mg
497,433,500,mg
498,434,5,mg
499,139,20,mg
499,133,10,mg
500,435,20,mg
500,436,150,mg
501,437,40,mg
501,438,150,mg
502,439,400,mg
502,420,20,mg
502,32,5,ml
503,128,10/15,g
504,440,100,mg
505,441,0.5,%
506,442,0.3,%w/v
507,443,0.1,%w/v
508,444,1,%w/v
509,445,5000,iu
509,446,4,mg
509,447,1,mg
510,448,10,%w/v
511,449,3,%w/w
512,450,2,%w/v
513,451,125/5,mg/ml
514,452,500/100,mg/ml
515,453,10,mg
516,453,20,mg
517,454,20,mg
518,454,40,mg
519,20,250/5,mg/ml
520,455,5,mg
520,226,500,mg
521,456,98,%w/w
522,457,300,mg
523,458,10,mg
523,459,0.5,mg
525,460,5,ml
526,460,10,ml
527,461,5,%w/v
528,462,10,%w/v
529,463,5,%w/v
529,464,0.9,%w/v
530,465,0.9,%w/v
531,466,200,mg
532,467,25,mg
533,468,40,mg
534,53,125,mg
535,236,250,mg
536,47,50,mg
537,469,450,mg
538,92,3,mg
539,92,4,mg
540,470,1,%
541,76,1,%w/v
541,471,0.025,%w/v
542,76,1,%w/w
542,75,0.025,%w/w
543,472,1500,mg
544,258,10,mg
545,473,25,mg
546,474,0.5,mg
547,475,7.5,mg
548,226,1000,mg
548,29,2,mg
549,476,250,mg
550,477,325,mg
551,164,3/1,mg/ml
552,478,100,mg
552,143,1000,iu
552,146,1.5,mg
552,479,3,mg
552,382,1500,mcg
553,480,0.25,mg
553,481,20,mg
554,482,50,mg
555,483,25,mg
556,483,10,mg
557,484,1,mg
558,485,75,mg
559,166,25,mg
559,165,5,mg
560,168,25,mg
561,486,75,mg
561,261,10,mg
562,487,25/2.5,mg/ml
563,488,250,iu
563,79,5,mg
563,489,60,mg
564,490,4/1,mg/ml
565,491,50,mg
566,223,100,iu
566,492,30,%
566,493,70,%
567,494,3.5,mg
568,495,0.09,%w/v
569,496,2.5,mg
570,497,0.5,mg
571,498,0.25,mcg
572,499,667,mg
573,377,1250,mg
573,143,250,iu
573,500,40,mg
573,501,1.8,mg
573,379,7.5,mg
574,502,10,%w/v
575,265,6.25,mg
576,503,1,%w/w
577,312,10,mg
577,504,1,mg
578,505,12.5,mg
579,506,800,iu
580,506,400,iu
581,507,500,mg
581,508,400,mg
582,509,20,mg
583,510,50,mg
584,511,500,mg
585,201,1,mg
586,512,50,mg
587,513,200,mg
588,514,20,mg
589,515,13.5/5,mg/ml
590,462,25,%w/v
591,516,50,mg
592,202,5/1,mg/ml
593,517,10/1,mg/ml
594,518,10,mg
595,519,80,mg
595,256,250,mg
